id,type,status,error,is_timeout,submit_ts,dispatch_ts,deploy_ts,finish_ts,latency_resp_ms,latency_full_ms,node_id,provider_id,is_cross_node
0,medium,success,,false,2026-01-12T04:21:23.277466017Z,2026-01-12T04:21:23.277467477Z,2026-01-12T04:21:23.278927921Z,2026-01-12T04:21:23.278928121Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
1,medium,success,,false,2026-01-12T04:21:23.326826862Z,2026-01-12T04:21:23.326828212Z,2026-01-12T04:21:23.328192077Z,2026-01-12T04:21:23.328192277Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
2,medium,success,,false,2026-01-12T04:21:23.376911329Z,2026-01-12T04:21:23.376913059Z,2026-01-12T04:21:23.378350044Z,2026-01-12T04:21:23.378350304Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
3,medium,success,,false,2026-01-12T04:21:23.427703799Z,2026-01-12T04:21:23.427704789Z,2026-01-12T04:21:23.429131834Z,2026-01-12T04:21:23.429132044Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
4,medium,success,,false,2026-01-12T04:21:23.476728968Z,2026-01-12T04:21:23.476730188Z,2026-01-12T04:21:23.478064693Z,2026-01-12T04:21:23.478064903Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
5,medium,success,,false,2026-01-12T04:21:23.526914174Z,2026-01-12T04:21:23.526915914Z,2026-01-12T04:21:23.528317639Z,2026-01-12T04:21:23.528317959Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
6,medium,success,,false,2026-01-12T04:21:23.577771923Z,2026-01-12T04:21:23.577772993Z,2026-01-12T04:21:23.578781562Z,2026-01-12T04:21:23.578781762Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
7,medium,success,,false,2026-01-12T04:21:23.627095079Z,2026-01-12T04:21:23.627096329Z,2026-01-12T04:21:23.628262236Z,2026-01-12T04:21:23.628262446Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
8,medium,success,,false,2026-01-12T04:21:23.67770251Z,2026-01-12T04:21:23.67770378Z,2026-01-12T04:21:23.67870703Z,2026-01-12T04:21:23.678707229Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
9,medium,success,,false,2026-01-12T04:21:23.727501251Z,2026-01-12T04:21:23.727502741Z,2026-01-12T04:21:23.72845366Z,2026-01-12T04:21:23.72845388Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
