batch_number,task_count,timestamp,node_id,node_name,cpu_utilization_pct,memory_utilization_pct,gpu_utilization_pct,cpu_used_mc,cpu_total_mc,memory_used_bytes,memory_total_bytes,gpu_used,gpu_total
1,100,2026-01-12T04:14:49.703628294Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,99.27,64.25,50.00,47650,48000,66229108736,103079215104,3,6
1,100,2026-01-12T04:14:49.706058097Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,0.00,0.00,0.00,0,48000,0,103079215104,0,6
1,100,2026-01-12T04:14:49.712155848Z,node.JvECnV95brjeA43d7UkKis,node.4,76.00,43.69,16.67,36478,48000,45037387776,103079215104,1,6
1,100,2026-01-12T04:14:49.714141836Z,node.H4XkQaPwFHecrK3tb2QuPM,node.8,8.58,6.09,0.00,4116,48000,6282018816,103079215104,0,6
1,100,2026-01-12T04:14:49.716572339Z,node.Y7enFAt94fak68tn2EsaYM,node.2,0.00,0.00,0.00,0,48000,0,103079215104,0,6
1,100,2026-01-12T04:14:49.718884883Z,node.VQ6bGbdEJCyng2HyKkqte2,node.6,0.00,0.00,0.00,0,48000,0,103079215104,0,6
1,100,2026-01-12T04:14:49.721185237Z,node.ia7h4xNKV78fQuVWiLYnnX,node.7,0.00,0.00,0.00,0,48000,0,103079215104,0,6
1,100,2026-01-12T04:14:49.722977747Z,node.TDxYKFGxthuKRirkDjWjQa,node.5,56.39,34.22,50.00,27066,48000,35277242368,103079215104,3,6
2,200,2026-01-12T04:14:54.699732143Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.14,62.46,33.33,46629,48000,64381517824,103079215104,2,6
2,200,2026-01-12T04:14:54.702343374Z,node.Y7enFAt94fak68tn2EsaYM,node.2,39.51,22.01,33.33,18966,48000,22688038912,103079215104,2,6
2,200,2026-01-12T04:14:54.704283942Z,node.VQ6bGbdEJCyng2HyKkqte2,node.6,0.00,0.00,0.00,0,48000,0,103079215104,0,6
2,200,2026-01-12T04:14:54.705907704Z,node.ia7h4xNKV78fQuVWiLYnnX,node.7,0.00,0.00,0.00,0,48000,0,103079215104,0,6
2,200,2026-01-12T04:14:54.707689534Z,node.TDxYKFGxthuKRirkDjWjQa,node.5,90.67,56.95,16.67,43523,48000,58703478784,103079215104,1,6
2,200,2026-01-12T04:14:54.709686331Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,43.51,26.02,66.67,20886,48000,26820476928,103079215104,4,6
2,200,2026-01-12T04:14:54.711512291Z,node.JvECnV95brjeA43d7UkKis,node.4,16.47,10.28,16.67,7905,48000,10597957632,103079215104,1,6
2,200,2026-01-12T04:14:54.713279511Z,node.H4XkQaPwFHecrK3tb2QuPM,node.8,60.48,39.07,83.33,29032,48000,40277901312,103079215104,5,6
3,300,2026-01-12T04:14:59.703746756Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,96.07,60.52,16.67,46114,48000,62388174848,103079215104,1,6
3,300,2026-01-12T04:14:59.705291399Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,34.30,21.24,50.00,16462,48000,21898461184,103079215104,3,6
3,300,2026-01-12T04:14:59.706676143Z,node.JvECnV95brjeA43d7UkKis,node.4,17.16,11.20,33.33,8239,48000,11540627456,103079215104,2,6
3,300,2026-01-12T04:14:59.708200676Z,node.H4XkQaPwFHecrK3tb2QuPM,node.8,82.01,51.06,66.67,39363,48000,52634320896,103079215104,4,6
3,300,2026-01-12T04:14:59.70970234Z,node.Y7enFAt94fak68tn2EsaYM,node.2,49.47,31.59,66.67,23744,48000,32567721984,103079215104,4,6
3,300,2026-01-12T04:14:59.714595375Z,node.VQ6bGbdEJCyng2HyKkqte2,node.6,0.00,0.00,0.00,0,48000,0,103079215104,0,6
3,300,2026-01-12T04:14:59.716907599Z,node.ia7h4xNKV78fQuVWiLYnnX,node.7,0.00,0.00,0.00,0,48000,0,103079215104,0,6
3,300,2026-01-12T04:14:59.718866257Z,node.TDxYKFGxthuKRirkDjWjQa,node.5,35.80,22.65,16.67,17182,48000,23351787520,103079215104,1,6
4,400,2026-01-12T04:15:04.703029106Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,95.32,64.98,16.67,45754,48000,66980937728,103079215104,1,6
4,400,2026-01-12T04:15:04.704747697Z,node.JvECnV95brjeA43d7UkKis,node.4,9.22,5.72,16.67,4426,48000,5895094272,103079215104,1,6
4,400,2026-01-12T04:15:04.706198041Z,node.H4XkQaPwFHecrK3tb2QuPM,node.8,83.41,52.39,50.00,40036,48000,53999566848,103079215104,3,6
4,400,2026-01-12T04:15:04.707663794Z,node.Y7enFAt94fak68tn2EsaYM,node.2,88.19,57.62,100.00,42329,48000,59389247488,103079215104,6,6
4,400,2026-01-12T04:15:04.709243857Z,node.VQ6bGbdEJCyng2HyKkqte2,node.6,79.55,46.28,100.00,38186,48000,47700770816,103079215104,6,6
4,400,2026-01-12T04:15:04.714621476Z,node.ia7h4xNKV78fQuVWiLYnnX,node.7,0.00,0.00,0.00,0,48000,0,103079215104,0,6
4,400,2026-01-12T04:15:04.716826322Z,node.TDxYKFGxthuKRirkDjWjQa,node.5,0.00,0.00,0.00,0,48000,0,103079215104,0,6
4,400,2026-01-12T04:15:04.718681991Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,0.00,0.00,0.00,0,48000,0,103079215104,0,6
5,500,2026-01-12T04:15:09.707392172Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,93.29,60.30,16.67,44780,48000,62159585280,103079215104,1,6
5,500,2026-01-12T04:15:09.709098753Z,node.TDxYKFGxthuKRirkDjWjQa,node.5,30.22,17.25,33.33,14507,48000,17777557504,103079215104,2,6
5,500,2026-01-12T04:15:09.710913223Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,9.33,4.53,16.67,4480,48000,4669308928,103079215104,1,6
5,500,2026-01-12T04:15:09.71295923Z,node.JvECnV95brjeA43d7UkKis,node.4,0.00,0.00,0.00,0,48000,0,103079215104,0,6
5,500,2026-01-12T04:15:09.714809829Z,node.H4XkQaPwFHecrK3tb2QuPM,node.8,33.40,21.74,16.67,16033,48000,22410166272,103079215104,1,6
5,500,2026-01-12T04:15:09.719835423Z,node.Y7enFAt94fak68tn2EsaYM,node.2,29.87,18.48,33.33,14336,48000,19052625920,103079215104,2,6
5,500,2026-01-12T04:15:09.723260884Z,node.VQ6bGbdEJCyng2HyKkqte2,node.6,31.95,17.19,50.00,15335,48000,17719885824,103079215104,3,6
5,500,2026-01-12T04:15:09.725140563Z,node.ia7h4xNKV78fQuVWiLYnnX,node.7,93.42,55.61,83.33,44844,48000,57319358464,103079215104,5,6
6,600,2026-01-12T04:15:14.706692817Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,92.62,62.46,16.67,44457,48000,64386760704,103079215104,1,6
6,600,2026-01-12T04:15:14.708494307Z,node.JvECnV95brjeA43d7UkKis,node.4,0.00,0.00,0.00,0,48000,0,103079215104,0,6
6,600,2026-01-12T04:15:14.710492084Z,node.H4XkQaPwFHecrK3tb2QuPM,node.8,7.88,6.09,16.67,3783,48000,6282018816,103079215104,1,6
6,600,2026-01-12T04:15:14.712953557Z,node.Y7enFAt94fak68tn2EsaYM,node.2,0.00,0.00,0.00,0,48000,0,103079215104,0,6
